,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jan,114.37,129.69,140.62,129.06,129.22,146.09,147.75,152.5,155.24,149.11,138.57,157.41,164.66,162.95,176.25,183.61,188.09,188.66,196.11,203.02,204.49,211.28,217.91,214.22
Feb,115.67,127.85,135.99,125.89,127.85,139.89,141.29,143.28,150.69,139.87,132.93,150.34,161.84,154.34,167.86,172.12,181.63,177.66,183.9,189.37,199.55,199.96,204.4,
Mar,134.37,154.75,164.32,154.94,147,167.55,167.35,167.01,169.75,162.8,155.09,175.1,185.22,177.45,196.18,201.08,201.65,203.78,210.55,216.78,221.44,234.09,236.12,
Apr,154.29,164.85,180.17,173.03,165.09,174.79,175.41,180.36,175.63,169.93,163.31,184.83,191.56,180.78,203.58,207.92,202.94,211.6,214.09,220.65,227.11,236.39,238.28,
May,179.34,195.57,200.96,195.49,191.13,196.88,199.08,200.21,198.49,181.13,189.21,200.06,207.13,200.3,219.71,226.03,222.39,228.98,232.21,235.09,240.9,249.15,246.7,
Jun,168.75,184.79,177.02,178.72,179.02,182.39,187,184.3,184.44,170.09,181.9,186.87,192.57,190.9,204.82,215.85,203.78,210.05,213.75,218.36,222.7,231.3,225.27,
Jul,164.04,175.79,163.9,171.24,174.43,172.74,180.13,173.45,177.73,162.83,173.15,181.58,175.92,181.44,197.84,204.15,189.73,200.29,206.4,210.09,209.57,218.94,214.95,
Aug,142.41,153.66,142.96,152.65,153.41,156.64,160.62,156.71,154.32,140.53,155.68,161.85,156.85,162.33,174.81,180.81,169.52,179.15,183.98,187.39,188,196.98,193.6,
Sep,119.59,131.13,125.7,132.47,129.28,134.63,139.09,138.07,132.73,121.58,139.35,143.33,136.79,142.16,161.84,162.98,151.4,159.11,165.83,168.27,170.17,179.17,175.04,
Oct,110.01,124.74,116.99,126.24,126.23,131.4,133.95,138.63,132.26,124.44,139.32,141.36,135.65,147.78,164.54,166.96,155.63,166.3,172.82,173.03,177.55,185.75,182.81,
Nov,105.11,119.6,106.71,116.88,124.16,125.33,130.52,135.8,130.02,119.09,135.2,142,137.84,147.48,160.9,164.49,155.97,171.04,173.72,174.47,182.71,188.94,186.32,
Dec,119.28,130.4,118.83,124.42,137.15,137.73,143.05,147.33,141.53,130.83,146.12,155.54,153.14,165.5,176.05,180.39,175.57,187.22,192.09,193.42,202.37,208.1,203.99,
